lv_thought,lv_registered,lv_plan_vote,lv_already_voted,vote_method_plan,lv_likely,vote_method,vote_measure_100pct_income_tax,vote2016,agree_flies_animal_feed,agree_eat_animals_fed_insects,agree_eat_insects,agree_flies_animal_feed_alt,agree_eat_animals_fed_insects_alt_reverse,agree_insect_feed_harms_health,agree_farming_harms_environment,agree_farming_climate_change,agree_farming_covid,agree_plant_based_is_meat,agree_stop_buying_if_reneg,agree_vote_cand_oppose_abortion,agree_vote_cand_gun_control,agree_vote_cand_animal_welfare,agree_vote_cand_reg_farming,agree_vote_veg,agree_vote_gay,agree_vote_atheist,agree_pain_dogs,agree_pain_pigs,agree_pain_chickens,agree_pain_fish,agree_pain_honeybees,agree_pain_termites,agree_pain_ants,gss_trust,gss_bible,gss_spanking,agree_birth_control_immoral,agree_11hrs_sleep,agree_40hrs_work,agree_puerto_rico,agree_socialists_no_teach,agree_immigrants_work,agree_need_more_equal_rights,ffq_chicken,ffq_turkey,ffq_pork,ffq_beef,ffq_fish,ffq_seafood,ffq_other_meat,ffq_dairy,ffq_eggs,ffq_none,news_wsj,news_daily_wire,news_npr,news_guardian,news_msnbc,news_cnn,news_john_oliver,news_steven_colbert,news_nyt,news_atlantic,news_fox,news_wp,news_none,news_amount,social_fb,social_twitter,social_instagram,social_tiktok,social_pinterest,social_none,gender,race,education,state,income,urban_rural,vote_measure_ca_prop16_affirmative_action,vote_measure_ca_prop22_rideshare,vote_measure_ca_prop14_stem_cell,vote_measure_ca_prop15_property_tax,vote_measure_ca_prop21_rent_control,vote_measure_ca_prop23_dialysis,vote_measure_ca_prop25_bail,vote_measure_ca_prop17_felon_vote,vote_measure_ca_prop20_parole,vote_measure_ca_prop18_17yo_vote,vote_measure_psilocybin,vote_measure_alt_protein_funding,vote_measure_no_insect_feed,vote_measure_no_labeling,vote_measure_cage_free,vote_measure_co_gray_wolf,vote_measure_utah_hunt,vote_measure_mt_firearms,vote_measure_al_citizen_voting,vote_measure_la_a1_abortion,vote_measure_primate_rights,vote_measure_ne428_payday_cap,vote_measure_nvq6_renewables_mandate,vote_measure_marijuana,vote_measure_no_slavery,vote_measure_rank_choice,vote_measure_mi_prop2_electronic_privacy,vote_measure_family_leave,vote_measure_min_wage,vote_measure_stand_ground,vote_measure_22wk_abortion,vote_measure_income_tax_for_educ,vote_measure_cig_tax,vote_trump_biden,vote_senate,vote_rep,age,voted2016,pescetarian,vegetarian,vegan,region,meta_straightlining_vote_measure,weight,lv_index,rv_index,lv_weight,rv_weight,lv_weight_alt,lv_weight_2020
Quite a lot,Yes,Yes,No,In person before election day,Very likely,,Vote for / Support,Hillary Clinton,Disagree,Don't know,Don't know,Don't know,Agree,Don't know,Disagree,Disagree,Disagree,Disagree,Don't know,Disagree,Agree,Agree,Agree,Disagree,Don't know,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Can't be too careful,Inspired word,Disagree,Disagree,Disagree,Agree,Agree,Don't know,Agree,Agree,True,True,False,False,False,False,False,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,Male,White or Caucasian,Graduated from high school,Texas,"Between $15,000 and $49,999",Suburban,Not presented,Not presented,Not presented,Don’t know / Undecided,Not presented,Not presented,Not presented,Not presented,Not presented,Vote for / Support,Not presented,Not presented,Not presented,Vote for / Support,Not presented,Not presented,Vote against / Oppose,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Vote against / Oppose,Not presented,Not presented,Not presented,Vote for / Support,Not presented,Not presented,Not presented,"Joe Biden, the Democrat",A Democratic candidate,A Democratic candidate,25-44,True,False,False,False,South,0.7941176470588235,0.5279290443867669,0.83,1,0.6745848211666908,0.6585671260030196,0.6310416513728224,0.6491295894844049
Some,Yes,Don't know,No,Don’t know,Somewhat likely,,Don’t know / Undecided,Did not vote,Don't know,Don't know,Agree,Don't know,Don't know,Don't know,Don't know,Don't know,Don't know,Disagree,Don't know,Don't know,Don't know,Don't know,Don't know,Disagree,Disagree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Can't be too careful,Inspired word,Agree,Disagree,Disagree,Don't know,Agree,Don't know,Agree,Disagree,False,True,True,False,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,False,True,False,True,False,Female,Black or African American,Graduated from college,Texas,"Under $15,000",Suburban,Not presented,Not presented,Not presented,Not presented,Don’t know / Undecided,Not presented,Not presented,Not presented,Don’t know / Undecided,Not presented,Not presented,Not presented,Not presented,Vote against / Oppose,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Don’t know / Undecided,Not presented,Don’t know / Undecided,Not presented,Not presented,Not presented,Not presented,Vote for / Support,Not presented,Not presented,Not presented,Not presented,Not presented,Not decided,Not decided,Not decided,25-44,False,False,False,False,South,0.7941176470588235,0.05773304279763834,0.23,1,0.020442556196272506,0.07201930728174775,0.019123027995303635,0.03938148758323989
Quite a lot,Yes,Yes,No,In person on election day,Likely,,Vote against / Oppose,Did not vote,Don't know,Don't know,Don't know,Don't know,Disagree,Don't know,Agree,Don't know,Disagree,Disagree,Agree,Don't know,Agree,Agree,Agree,Disagree,Don't know,Don't know,Agree,Agree,Agree,Don't know,Disagree,Disagree,Disagree,Can't be too careful,Book of fables,Disagree,Disagree,Disagree,Agree,Agree,Disagree,Agree,Agree,True,True,True,True,False,False,False,True,True,False,False,False,True,False,False,True,False,False,True,False,True,True,False,True,True,True,True,False,False,False,Male,Hispanic or Latino,Graduated from college,Texas,"Between $15,000 and $49,999",Suburban,Vote against / Oppose,Not presented,Not presented,Not presented,Not presented,Not presented,Vote for / Support,Not presented,Not presented,Not presented,Not presented,Vote for / Support,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Vote for / Support,Not presented,Not presented,Not presented,Not presented,Not presented,Vote for / Support,Not presented,Not presented,Not presented,Vote for / Support,Not presented,Not presented,"Donald Trump, the Republican",A Republican candidate,Not decided,25-44,False,False,False,False,South,0.7941176470588235,2.2252470982715895,0.59,1,2.021218068323723,2.775893089681302,3.142430286761435,2.0044970589215625
Quite a lot,Yes,Yes,No,In person before election day,Very likely,,Vote against / Oppose,Did not vote,Disagree,Disagree,Don't know,Disagree,Agree,Don't know,Don't know,Don't know,Disagree,Disagree,Agree,Disagree,Disagree,Agree,Agree,Disagree,Don't know,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Can trust,Book of fables,Disagree,Disagree,Disagree,Agree,Agree,Disagree,Agree,Agree,True,False,True,True,True,False,False,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,Male,White or Caucasian,"Some college, no degree",Texas,"Between $15,000 and $49,999",Suburban,Not presented,Not presented,Not presented,Vote for / Support,Not presented,Not presented,Not presented,Not presented,Not presented,Vote for / Support,Not presented,Don’t know / Undecided,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Vote against / Oppose,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Vote for / Support,Not presented,Not presented,Don’t know / Undecided,Not presented,Not presented,Not presented,"Joe Biden, the Democrat",Not decided,Not decided,25-44,False,False,False,False,South,0.7941176470588235,0.2823744990701305,0.63,1,0.27387282388378675,0.3522491597808736,0.2561948529331905,0.2635383248486817
Quite a lot,Yes,Yes,No,In person on election day,Very likely,,Vote for / Support,Donald Trump,Disagree,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Disagree,Disagree,Disagree,Agree,Agree,Agree,Agree,Don't know,Disagree,Disagree,Agree,Agree,Agree,Agree,Don't know,Disagree,Don't know,Can trust,Word of God,Agree,Agree,Disagree,Agree,Agree,Disagree,Agree,Agree,True,False,False,True,True,True,True,True,True,False,True,False,False,False,True,True,False,False,True,False,True,True,False,True,True,True,True,False,True,False,Male,White or Caucasian,Completed graduate school,Texas,"Over $150,000",Urban,Not presented,Not presented,Not presented,Vote for / Support,Not presented,Vote for / Support,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Vote for / Support,Not presented,Not presented,Not presented,Vote against / Oppose,Not presented,Not presented,Not presented,Vote for / Support,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Vote for / Support,Not presented,"Donald Trump, the Republican",A Republican candidate,A Republican candidate,45-64,True,False,False,False,South,0.7941176470588235,4.686744393756824,0.83,1,5.988696136975953,5.846497400597578,5.602137168327307,5.939153217296781
Quite a lot,Yes,Yes,No,"By mail, and I’ve already requested my mail-in ballot",Very likely,,Vote for / Support,Hillary Clinton,Agree,Agree,Agree,Agree,Disagree,Don't know,Agree,Agree,Disagree,Disagree,Don't know,Don't know,Don't know,Don't know,Agree,Don't know,Disagree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Can't be too careful,Word of God,Agree,Disagree,Disagree,Agree,Don't know,Don't know,Agree,Don't know,True,True,True,True,True,False,False,True,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True,True,True,True,True,True,False,Male,White or Caucasian,Graduated from high school,Texas,"Between $50,000 and $74,999",Suburban,Not presented,Not presented,Not presented,Vote for / Support,Not presented,Vote for / Support,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Vote against / Oppose,Not presented,Not presented,Not presented,Vote for / Support,Not presented,Not presented,Not presented,Not presented,Vote against / Oppose,Not presented,Not presented,Not presented,Not presented,Vote for / Support,Not presented,Not presented,Not presented,Not presented,Not decided,A Democratic candidate,A Democratic candidate,25-44,True,False,False,False,South,0.7941176470588235,0.3533338760111259,0.83,1,0.45148807798208285,0.44076770868791243,0.4223453795064774,0.8697675557949202
Some,Yes,Yes,Yes,,,In person,Vote against / Oppose,Donald Trump,Disagree,Agree,Don't know,Agree,Don't know,Don't know,Agree,Agree,Agree,Disagree,Agree,Disagree,Disagree,Agree,Agree,Don't know,Don't know,Agree,Agree,Agree,Agree,Disagree,Disagree,Disagree,Disagree,Can't be too careful,Book of fables,Don't know,Disagree,Disagree,Disagree,Agree,Disagree,Agree,Agree,True,False,True,True,True,True,False,True,True,False,False,False,False,True,False,False,False,False,False,True,True,True,False,True,True,True,True,True,False,False,Male,White or Caucasian,"Some college, no degree",Texas,"Between $15,000 and $49,999",Urban,Vote for / Support,Not presented,Not presented,Not presented,Not presented,Vote for / Support,Not presented,Not presented,Not presented,Not presented,Not presented,Vote for / Support,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Vote for / Support,Vote for / Support,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Vote against / Oppose,Not presented,Not presented,Another candidate,A Democratic candidate,A Democratic candidate,25-44,True,False,False,False,South,0.7941176470588235,0.08236340942784699,0.83,1,0.1052435102980589,0.10274455329070513,0.09845024146837271,0.12850565355259855
Quite a lot,Yes,Yes,No,In person before election day,Very likely,,Vote for / Support,Hillary Clinton,Agree,Disagree,Disagree,Agree,Don't know,Don't know,Don't know,Don't know,Agree,Agree,Don't know,Agree,Agree,Agree,Agree,Disagree,Don't know,Don't know,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Can't be too careful,Word of God,Agree,Don't know,Agree,Agree,Agree,Agree,Agree,Agree,False,True,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,True,False,False,True,True,False,True,False,True,False,Female,Black or African American,Graduated from college,Texas,"Between $75,000 and $99,999",Urban,Not presented,Not presented,Not presented,Not presented,Vote against / Oppose,Vote for / Support,Not presented,Not presented,Not presented,Not presented,Vote for / Support,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Vote against / Oppose,Not presented,Not presented,Vote for / Support,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Vote against / Oppose,"Donald Trump, the Republican",A Democratic candidate,A Republican candidate,25-44,True,False,False,False,South,0.7941176470588235,0.02904610017958204,0.83,1,0.03711494660801102,0.03623366988471494,0.034719247251408326,0.03680790434427947
Quite a lot,Yes,Yes,No,In person on election day,Very likely,,Vote against / Oppose,Did not vote,Agree,Agree,Don't know,Agree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Don't know,Disagree,Agree,Agree,Agree,Don't know,Don't know,Don't know,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Can trust,Book of fables,Disagree,Disagree,Disagree,Agree,Don't know,Disagree,Agree,Agree,True,True,False,True,True,False,False,True,True,False,False,False,False,True,True,True,False,False,True,False,False,False,False,True,False,False,False,False,False,True,Male,White or Caucasian,"Some college, no degree",Texas,"Between $100,000 and $150,000",Suburban,Not presented,Vote against / Oppose,Not presented,Not presented,Not presented,Vote against / Oppose,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Vote for / Support,Not presented,Not presented,Not presented,Not presented,Vote against / Oppose,Not presented,Not presented,Not presented,Vote for / Support,Not presented,Not presented,Not presented,Not presented,Vote for / Support,Not presented,Not presented,Not presented,Not presented,"Joe Biden, the Democrat",Not decided,Not decided,25-44,False,False,False,False,South,0.7941176470588235,0.3909534358982426,0.63,1,0.3791826877041345,0.4876963740071982,0.35470716492993226,0.3648743563237645
Quite a lot,Yes,Yes,No,"By mail, and I’ve already requested my mail-in ballot",Likely,,Vote against / Oppose,Hillary Clinton,Don't know,Agree,Agree,Don't know,Don't know,Disagree,Agree,Agree,Disagree,Disagree,Don't know,Disagree,Disagree,Disagree,Don't know,Disagree,Disagree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Can't be too careful,Book of fables,Disagree,Disagree,Disagree,Agree,Agree,Disagree,Agree,Agree,True,False,False,True,False,False,False,True,True,False,False,False,True,True,True,True,True,False,True,True,True,True,False,True,False,True,True,False,True,False,Male,White or Caucasian,Graduated from college,Texas,"Between $50,000 and $74,999",Urban,Not presented,Not presented,Not presented,Don’t know / Undecided,Not presented,Not presented,Not presented,Vote for / Support,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Vote for / Support,Not presented,Not presented,Don’t know / Undecided,Not presented,Not presented,Not presented,Vote for / Support,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Vote against / Oppose,Not presented,Not presented,"Joe Biden, the Democrat",A Democratic candidate,A Democratic candidate,25-44,True,False,False,False,South,0.7941176470588235,0.0383389845885218,0.63,1,0.037184682075301935,0.047826114442453944,0.03478448142664874,0.03578153058484605
Quite a lot,Yes,Yes,Yes,,,In person,Vote against / Oppose,Other,Don't know,Don't know,Agree,Don't know,Don't know,Disagree,Agree,Agree,Disagree,Disagree,Agree,Don't know,Agree,Agree,Agree,Don't know,Don't know,Don't know,Agree,Agree,Agree,Agree,Don't know,Don't know,Don't know,Can trust,Inspired word,Disagree,Disagree,Disagree,Disagree,Agree,Disagree,Agree,Agree,True,True,False,True,False,False,False,True,True,False,False,False,False,False,False,True,False,False,True,True,False,True,False,True,True,True,True,False,False,False,Female,Other,"Some college, no degree",Texas,"Under $15,000",Urban,Not presented,Not presented,Vote for / Support,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Vote for / Support,Not presented,Not presented,Not presented,Vote against / Oppose,Not presented,Not presented,Don’t know / Undecided,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Vote for / Support,Not presented,Not presented,Vote for / Support,Not presented,Not presented,Not presented,Not presented,"Joe Biden, the Democrat",A Democratic candidate,A Democratic candidate,45-64,True,False,False,False,South,0.7941176470588235,1.0489348951189525,0.83,1,1.3403232236658824,1.3084978873348057,1.2538079036119685,1.2897465769388539
Some,Yes,Yes,Yes,,,In person,Vote for / Support,Donald Trump,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Don't know,Agree,Don't know,Agree,Agree,Agree,Agree,Don't know,Agree,Agree,Agree,Agree,Agree,Don't know,Agree,Agree,Agree,Can trust,Word of God,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,True,False,False,False,False,False,True,True,True,False,False,True,False,True,False,True,False,False,False,False,True,False,False,True,True,True,True,False,True,False,Male,White or Caucasian,Graduated from college,Texas,"Between $100,000 and $150,000",Urban,Not presented,Not presented,Vote against / Oppose,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Vote for / Support,Not presented,Not presented,Vote for / Support,Not presented,Not presented,Vote against / Oppose,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Vote for / Support,Not presented,Not presented,Not presented,Vote for / Support,Not presented,Not presented,Not presented,Not presented,Not presented,"Donald Trump, the Republican",A Republican candidate,A Republican candidate,25-44,True,False,False,False,South,0.7941176470588235,0.056004239228343036,0.83,1,0.07156190799904273,0.06986270459023061,0.06694272266755788,0.07096989501675185
Quite a lot,Yes,Yes,No,In person before election day,Very likely,,Vote for / Support,Did not vote,Don't know,Don't know,Agree,Agree,Disagree,Don't know,Agree,Agree,Don't know,Don't know,Agree,Disagree,Agree,Agree,Agree,Agree,Don't know,Agree,Agree,Agree,Agree,Agree,Don't know,Don't know,Don't know,Can't be too careful,Book of fables,Disagree,Disagree,Disagree,Disagree,Agree,Disagree,Agree,Agree,True,False,True,True,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,False,False,False,Female,Hispanic or Latino,Completed graduate school,Texas,"Under $15,000",Suburban,Not presented,Not presented,Not presented,Not presented,Don’t know / Undecided,Not presented,Vote for / Support,Not presented,Not presented,Not presented,Not presented,Not presented,Vote against / Oppose,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Vote against / Oppose,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Vote for / Support,Not presented,Not presented,Not presented,Vote against / Oppose,Not presented,Not presented,"Joe Biden, the Democrat",A Democratic candidate,A Democratic candidate,25-44,False,False,False,False,South,0.7941176470588235,0.36951894686210135,0.63,1,0.3583935439954595,0.4609578378498027,0.33525992098830265,0.3448696839713608
Only a little,No,Don't know,No,"By mail, but I haven’t requested my mail-in ballot yet",Neither likely nor unlikely,,Don’t know / Undecided,Did not vote,Don't know,Don't know,Agree,Don't know,Agree,Don't know,Don't know,Don't know,Disagree,Disagree,Agree,Disagree,Don't know,Agree,Don't know,Disagree,Don't know,Don't know,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Can't be too careful,Book of fables,Don't know,Disagree,Disagree,Disagree,Don't know,Don't know,Agree,Agree,True,True,True,True,True,True,False,True,True,False,False,False,False,False,False,True,False,False,True,False,False,True,False,True,True,True,True,True,False,False,Female,Hispanic or Latino,Graduated from high school,Texas,"Between $50,000 and $74,999",Urban,Not presented,Not presented,Not presented,Not presented,Vote against / Oppose,Vote for / Support,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Vote against / Oppose,Not presented,Not presented,Not presented,Vote against / Oppose,Not presented,Not presented,Not presented,Not presented,Not presented,Vote for / Support,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Vote against / Oppose,Not decided,Not decided,Not decided,18-24,False,False,False,False,South,0.7941176470588235,2.32734195315182,0.11,0,0.394126648507764,0.0,0.3686865214284427,0.7592638398745168
Quite a lot,Yes,Yes,No,In person on election day,Likely,,Vote against / Oppose,Hillary Clinton,Disagree,Disagree,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Disagree,Agree,Agree,Agree,Don't know,Don't know,Don't know,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Can't be too careful,Book of fables,Disagree,Disagree,Disagree,Don't know,Don't know,Disagree,Don't know,Agree,True,True,False,True,True,False,False,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,False,True,False,True,False,Female,White or Caucasian,"Some college, no degree",Texas,"Between $15,000 and $49,999",Rural,Not presented,Not presented,Not presented,Not presented,Don’t know / Undecided,Not presented,Not presented,Vote for / Support,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Vote for / Support,Not presented,Not presented,Not presented,Not presented,Not presented,Vote for / Support,Not presented,Not presented,Vote for / Support,Not presented,Not presented,Not presented,Not presented,Vote for / Support,Not presented,Not presented,Not presented,Not presented,"Joe Biden, the Democrat",A Democratic candidate,A Democratic candidate,25-44,True,False,False,False,South,0.7941176470588235,0.08018274407492021,0.83,1,0.10245706813737565,0.10002427387148977,0.09584365886028595,0.09859088507915917
Quite a lot,Yes,Yes,No,In person before election day,Very likely,,Vote against / Oppose,Donald Trump,Disagree,Don't know,Agree,Don't know,Don't know,Don't know,Don't know,Don't know,Disagree,Don't know,Don't know,Disagree,Disagree,Agree,Don't know,Disagree,Don't know,Don't know,Agree,Agree,Agree,Agree,Disagree,Disagree,Disagree,Can't be too careful,Book of fables,Don't know,Don't know,Disagree,Don't know,Don't know,Disagree,Agree,Don't know,True,True,True,True,True,True,False,True,True,False,True,False,True,True,False,True,False,False,True,True,True,True,False,True,True,True,True,True,False,False,Male,Black or African American,Graduated from college,Texas,"Between $50,000 and $74,999",Suburban,Don’t know / Undecided,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Don’t know / Undecided,Not presented,Not presented,Vote against / Oppose,Not presented,Not presented,Not presented,Vote for / Support,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Don’t know / Undecided,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Don’t know / Undecided,Not presented,"Donald Trump, the Republican",A Republican candidate,A Republican candidate,25-44,True,False,False,False,South,0.7941176470588235,0.05767004292683327,0.83,1,0.07369046277736553,0.07194071784952044,0.06893388327509611,0.07308084081709296
Quite a lot,Yes,Yes,No,In person on election day,Very likely,,Vote against / Oppose,Hillary Clinton,Disagree,Disagree,Agree,Disagree,Agree,Agree,Disagree,Disagree,Disagree,Disagree,Agree,Disagree,Agree,Agree,Agree,Disagree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Can't be too careful,Inspired word,Agree,Disagree,Disagree,Agree,Agree,Disagree,Agree,Disagree,True,True,False,True,True,False,False,True,True,False,False,True,False,False,False,True,False,False,False,False,True,True,False,True,True,True,True,False,True,False,Male,Hispanic or Latino,Graduated from college,Texas,"Between $75,000 and $99,999",Urban,Not presented,Not presented,Not presented,Not presented,Vote for / Support,Not presented,Not presented,Not presented,Vote against / Oppose,Not presented,Not presented,Vote against / Oppose,Not presented,Not presented,Not presented,Vote against / Oppose,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Vote against / Oppose,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Vote for / Support,Not presented,"Joe Biden, the Democrat",A Democratic candidate,A Democratic candidate,25-44,True,False,False,False,South,0.7941176470588235,0.3182711754550454,0.83,1,0.40668515259706356,0.3970286074192094,0.38043439791575795,0.3913390249400554
Some,No,No,No,,,,Vote against / Oppose,Did not vote,Don't know,Agree,Disagree,Agree,Disagree,Disagree,Agree,Agree,Don't know,Disagree,Don't know,Disagree,Don't know,Don't know,Don't know,Disagree,Disagree,Agree,Agree,Agree,Agree,Don't know,Don't know,Disagree,Disagree,Can trust,Book of fables,Disagree,Disagree,Disagree,Don't know,Don't know,Disagree,Agree,Agree,True,False,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,True,Male,Asian or Asian American,"Some college, no degree",Texas,"Under $15,000",Suburban,Not presented,Not presented,Not presented,Not presented,Vote for / Support,Not presented,Not presented,Not presented,Not presented,Vote for / Support,Vote for / Support,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Vote against / Oppose,Not presented,Not presented,Not presented,Vote for / Support,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Don’t know / Undecided,Not presented,Not presented,Do not intend to vote,Do not intend to vote,Do not intend to vote,18-24,False,False,False,False,South,0.7941176470588235,0.03481750905587312,0.11,0,0.005896214836412925,0.0,0.005515625360179198,0.004646621504896194
Quite a lot,Yes,Yes,Yes,,,In person,Vote against / Oppose,Hillary Clinton,Don't know,Agree,Disagree,Don't know,Don't know,Don't know,Agree,Agree,Don't know,Don't know,Agree,Disagree,Agree,Agree,Agree,Don't know,Don't know,Don't know,Agree,Agree,Agree,Don't know,Don't know,Don't know,Don't know,Don’t know,Inspired word,Disagree,Disagree,Disagree,Disagree,Agree,Disagree,Agree,Agree,True,False,True,True,False,True,True,True,True,False,False,False,True,False,False,False,True,True,True,False,False,True,False,True,True,True,True,False,False,False,Female,Hispanic or Latino,Graduated from college,Texas,"Under $15,000",Suburban,Not presented,Vote against / Oppose,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Vote against / Oppose,Not presented,Not presented,Not presented,Not presented,Don’t know / Undecided,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Don’t know / Undecided,Not presented,Not presented,Not presented,Vote for / Support,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Vote for / Support,Not presented,"Joe Biden, the Democrat",A Democratic candidate,A Democratic candidate,25-44,True,False,False,False,South,0.7941176470588235,0.1796343413997323,0.83,1,0.2295357706816332,0.22408555317217604,0.21471967236019307,0.2208743154594896
Quite a lot,Yes,Yes,No,In person before election day,Very likely,,Don’t know / Undecided,Hillary Clinton,Don't know,Don't know,Don't know,Disagree,Don't know,Don't know,Disagree,Don't know,Disagree,Disagree,Agree,Disagree,Disagree,Don't know,Agree,Disagree,Disagree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Can't be too careful,Word of God,Agree,Disagree,Disagree,Agree,Agree,Don't know,Agree,Agree,True,True,True,True,True,True,False,True,True,False,False,False,False,False,True,True,False,False,True,False,False,True,False,True,True,False,False,False,False,False,Female,Black or African American,"Some college, no degree",Texas,"Between $15,000 and $49,999",Urban,Not presented,Not presented,Not presented,Vote against / Oppose,Not presented,Not presented,Vote for / Support,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Vote for / Support,Not presented,Don’t know / Undecided,Not presented,Not presented,Not presented,Not presented,Not presented,Vote for / Support,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Vote against / Oppose,Not presented,Not presented,Not presented,"Joe Biden, the Democrat",A Democratic candidate,A Democratic candidate,25-44,True,False,False,False,South,0.7941176470588235,0.17080482172792455,0.83,1,0.21825345914351182,0.2130711347459196,0.20416561261718635,0.21001773815834365
Some,Yes,No,No,,,,Vote against / Oppose,Did not vote,Agree,Agree,Don't know,Agree,Disagree,Disagree,Agree,Don't know,Disagree,Disagree,Agree,Don't know,Agree,Don't know,Agree,Don't know,Disagree,Don't know,Agree,Agree,Agree,Don't know,Don't know,Disagree,Disagree,Can trust,Book of fables,Don't know,Disagree,Disagree,Don't know,Don't know,Don't know,Agree,Agree,True,True,False,True,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,False,Male,Hispanic or Latino,"Some college, no degree",Texas,"Between $15,000 and $49,999",Suburban,Vote for / Support,Not presented,Not presented,Not presented,Not presented,Not presented,Vote for / Support,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Vote for / Support,Not presented,Not presented,Not presented,Vote for / Support,Not presented,Not presented,Not presented,Vote for / Support,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Not presented,Vote for / Support,Do not intend to vote,Do not intend to vote,Do not intend to vote,18-24,False,False,False,False,South,0.7941176470588235,1.1175879846339234,0.23,1,0.3957240788474859,1.3941394490822194,0.3701808406717778,0.3118577029151506
